instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
RWM Fiber Optics,Carson,CA,Certificate Degree,Far West,City: Small,NA,NA,111,NA,21735,NA,NA,8550,9500,0.047008547
Paul Mitchell the School-Sacramento,Sacramento,CA,Certificate Degree,Far West,City: Small,NA,NA,431,NA,18507,NA,NA,6333,9926,0.945812808
Providence Christian College,Pasadena,CA,Bachelor Degree,Far West,City: Midsize,0.9116,6,167,41007,NA,29372,29372,5500,20074.5,0.580152672
Oxford Academy of Hair Design Inc,Seymour,CT,Certificate Degree,New England,Suburb: Large,NA,NA,82,NA,15223,NA,NA,9833,10177,0.888888889
Institute of World Politics,Washington,DC,Entirely Graduate Degree,Mid East,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,Entirely Graduate Degree,Mid East,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medical Institute of Palm Beach,Greenacres,FL,Certificate Degree,Southeast,Suburb: Large,NA,NA,138,NA,24084,NA,NA,6417,6417,0.704280156
Woodruff Medical Training and Testing,Gainesville,GA,Certificate Degree,Southeast,City: Small,NA,NA,92,NA,24598,NA,NA,7917,9500,0.929078014
Oliver Finley Academy of Cosmetology,Boise,ID,Certificate Degree,Rocky Mountains,Suburb: Large,NA,NA,221,NA,17023,NA,NA,6333,6333,NA
National Career College,Panorama City,CA,Certificate Degree,Far West,City: Large,NA,NA,270,NA,23096,NA,NA,8271,8447.5,0.840540541
Aveda Institute-Chicago,Chicago,IL,Certificate Degree,Great Lakes,City: Large,NA,NA,113,NA,25305,NA,NA,9414,9833,0.91416309
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,151,NA,20404,NA,NA,7307,9000,0.951951952
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,Certificate Degree,Great Lakes,Suburb: Large,NA,NA,227,NA,20833,NA,NA,7307,7307,0.943217666
The Temple-A Paul Mitchell Partner School,Frederick,MD,Certificate Degree,Mid East,City: Small,NA,NA,183,NA,18052,NA,NA,9833,13263,0.95
Center for Massage,Asheville,NC,Certificate Degree,Southeast,City: Small,NA,NA,46,NA,14375,NA,NA,6333,NA,0.846153846
Academy of Hair Design-Oklahoma City,Oklahoma City,OK,Certificate Degree,Southwest,City: Large,NA,NA,46,NA,17175,NA,NA,9833,16500,NA
Pulse Beauty Academy,Downington,PA,Certificate Degree,Mid East,Suburb: Large,NA,NA,99,NA,19972,NA,NA,8028,8500,NA
Liberty Technical College,Cayey,PR,Associate Degree,Outlying Areas,Suburb: Large,NA,NA,135,NA,NA,NA,NA,NA,NA,0.788793103
Toni & Guy Hairdressing Academy-Cranston,Cranston,RI,Certificate Degree,New England,Suburb: Large,NA,NA,135,NA,20286,NA,NA,9833,9833,NA
