instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Anoka Technical College,Anoka,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,1541,16486,NA,5584,5584,9500,12662.5,0.573033708
Anoka-Ramsey Community College,Coon Rapids,MN,Associate Degree,Plains,Suburb: Large,NA,NA,5364,15061,NA,5059,5059,7944,14456,0.62031107
Augsburg University,Minneapolis,MN,Bachelor Degree,Plains,City: Large,0.6458,22,2405,49649,NA,37615,37615,21500,27000,0.546448087
Riverland Community College,Austin,MN,Certificate Degree,Plains,Town: Distant,NA,NA,1880,12877,NA,5570,5570,9000,NA,0.541991342
Northwest Technical College,Bemidji,MN,Certificate Degree,Plains,Town: Remote,NA,NA,634,15839,NA,5480,5480,7362,12000,0.688442211
Bemidji State University,Bemidji,MN,Bachelor Degree,Plains,Town: Remote,0.662,22,4399,20013,NA,8677,8677,12456,20433,0.598165903
Bethany Lutheran College,Mankato,MN,Bachelor Degree,Plains,City: Small,0.7912,23,523,35619,NA,26830,26830,17000,23250,0.553784861
Bethel University,Saint Paul,MN,Bachelor Degree,Plains,Suburb: Large,0.835,24,2777,48485,NA,36210,36210,19475,23445,0.635702746
Bethel Seminary-St Paul,Saint Paul,MN,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,19475,23445,0.635702746
Central Lakes College-Brainerd,Brainerd,MN,Associate Degree,Plains,Town: Remote,NA,NA,1909,16929,NA,5494,5494,8263.5,9843,0.495132128
Carleton College,Northfield,MN,Bachelor Degree,Plains,Town: Distant,0.212,33,2023,66490,NA,52782,52782,19401,20000,0.45945946
Concordia College at Moorhead,Moorhead,MN,Bachelor Degree,Plains,Suburb: Midsize,0.616,25,1980,47672,NA,38378,38378,24250,27000,0.581032413
Concordia University-Saint Paul,Saint Paul,MN,Bachelor Degree,Plains,City: Large,0.5487,NA,2575,31603,NA,21750,21750,15000,21198,0.607252612
Dakota County Technical College,Rosemount,MN,Certificate Degree,Plains,Rural: Fringe,NA,NA,2139,15458,NA,5713,5713,9500,10363,0.403701165
Martin Luther College,New Ulm,MN,Bachelor Degree,Plains,Town: Distant,0.7061,25,797,24580,NA,14680,14680,14800,21500,0.472789116
Lake Superior College,Duluth,MN,Associate Degree,Plains,City: Small,NA,NA,3285,16036,NA,5153,9483,8517,13384,0.535177099
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,Certificate Degree,Plains,City: Small,NA,NA,26,NA,16163,NA,NA,7160,NA,NA
Duluth Business University,Duluth,MN,Associate Degree,Plains,City: Small,NA,NA,46,31099,NA,18975,18975,20962,28341,NA
Minnesota State Community and Technical College,Fergus Falls,MN,Associate Degree,Plains,Town: Remote,NA,NA,4191,14878,NA,5335,5335,8405,11125,0.546787274
Minnesota West Community and Technical College,Granite Falls,MN,Certificate Degree,Plains,Town: Remote,NA,NA,1826,15431,NA,5692,10838,8979,12000,0.565471226
Gustavus Adolphus College,Saint Peter,MN,Bachelor Degree,Plains,Town: Fringe,0.6783,NA,2170,54204,NA,44080,44080,26250,27000,0.541570439
Hamline University,Saint Paul,MN,Bachelor Degree,Plains,City: Large,0.6911,23,2132,48293,NA,40332,40332,19500,24400,0.632007233
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,Entirely Graduate Degree,Plains,Rural: Fringe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hennepin Technical College,Brooklyn Park,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,4286,15977,NA,5198,5198,9500,12000,0.385503065
Hibbing Community College,Hibbing,MN,Associate Degree,Plains,Town: Remote,NA,NA,893,14340,NA,5310,6491,8250,11081,0.48441247
Aveda Institute-Minneapolis,Minneapolis,MN,Certificate Degree,Plains,City: Large,NA,NA,443,NA,21614,NA,NA,6333,7443,0.94398682
Inver Hills Community College,Inver Grove Heights,MN,Associate Degree,Plains,Suburb: Large,NA,NA,3269,14685,NA,5332,5332,8155,12750,0.595291987
Itasca Community College,Grand Rapids,MN,Associate Degree,Plains,Town: Remote,NA,NA,845,15671,NA,5325,6507,6500,11000,0.459635417
Luther Seminary,Saint Paul,MN,Entirely Graduate Degree,Plains,City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macalester College,Saint Paul,MN,Bachelor Degree,Plains,City: Large,0.4058,31,2116,64007,NA,52464,52464,20000,21500,0.593385214
South Central College,North Mankato,MN,Associate Degree,Plains,City: Small,NA,NA,2393,14521,NA,5417,5417,8250,13000,0.516
Minnesota State University-Mankato,Mankato,MN,Bachelor Degree,Plains,City: Small,0.6096,22,11966,18993,NA,8164,16216,14897.5,22198,0.569521691
Mayo Clinic College of Medicine and Science,Rochester,MN,Entirely Graduate Degree,Plains,City: Midsize,NA,NA,NA,NA,NA,NA,NA,9060.5,9610.5,0.785714286
Mayo Clinic School of Health Sciences,Rochester,MN,Certificate Degree,Plains,City: Midsize,NA,NA,215,NA,NA,NA,NA,9060.5,9610.5,0.785714286
Argosy University-Twin Cities,Eagan,MN,Associate Degree,Plains,City: Small,NA,NA,1065,24238,NA,13438,13438,13437.5,30481,0.649788711
Mesabi Range College,Virginia,MN,Certificate Degree,Plains,Town: Remote,NA,NA,724,10535,NA,5329,6511,8250,11697,0.448105437
Metropolitan State University,Saint Paul,MN,Bachelor Degree,Plains,City: Large,0.5554,NA,7080,20800,NA,7859,14960,13500,18000,0.60865665
University of Minnesota-Twin Cities,Minneapolis,MN,Bachelor Degree,Plains,City: Large,0.4959,29,31535,25790,NA,14417,26603,17000,20000,0.559390667
University of Minnesota-Crookston,Crookston,MN,Bachelor Degree,Plains,Town: Distant,0.687,22,1797,22716,NA,11814,11814,14487.5,20467.5,0.489685125
Minneapolis Business College,Roseville,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,177,18921,NA,15100,15100,11961,12000,0.625
Minneapolis College of Art and Design,Minneapolis,MN,Bachelor Degree,Plains,City: Large,0.5853,23,675,47779,NA,37812,37812,19750,25800,0.661498708
Minneapolis Community and Technical College,Minneapolis,MN,Associate Degree,Plains,City: Large,NA,NA,6218,17587,NA,5396,5396,9604,17000,0.548579285
Herzing University-Minneapolis,St. Louis Park,MN,Associate Degree,Plains,Suburb: Large,0.766,NA,372,26465,NA,13850,13850,11766,23139.5,0.813546519
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,138,NA,18605,NA,NA,9594,10194,0.964179105
University of Minnesota-Duluth,Duluth,MN,Bachelor Degree,Plains,City: Small,0.7661,24,9199,23913,NA,13344,18462,17000,24250,0.488211174
University of Minnesota-Morris,Morris,MN,Bachelor Degree,Plains,Town: Remote,0.6378,25,1554,23363,NA,13072,15092,13932,19295,0.589205397
Model College of Hair Design,Saint Cloud,MN,Certificate Degree,Plains,City: Small,NA,NA,82,NA,14777,NA,NA,7139,8280,NA
Minnesota State University Moorhead,Moorhead,MN,Bachelor Degree,Plains,Suburb: Midsize,0.6039,23,4834,20067,NA,8468,15878,17225,22579,0.596189591
North Hennepin Community College,Brooklyn Park,MN,Associate Degree,Plains,Suburb: Large,NA,NA,5124,14271,NA,4420,4420,8625,14750,0.59447983
